"lineup","slugTeam","seasonPM","seasonSecs"
"Blake Griffin, Chris Paul, DeAndre Jordan, JJ Redick, Matt Barnes","LAC",449,73059
"Andrew Bogut, Draymond Green, Harrison Barnes, Klay Thompson, Stephen Curry","GSW",330,48795
"JR Smith, Kevin Love, Kyrie Irving, LeBron James, Timofey Mozgov","CLE",203,28850
"Al Horford, DeMarre Carroll, Jeff Teague, Kyle Korver, Paul Millsap","ATL",170,54934
"Ben McLemore, Darren Collison, DeMarcus Cousins, Jason Thompson, Rudy Gay","SAC",142,25647
"Damian Lillard, LaMarcus Aldridge, Nicolas Batum, Robin Lopez, Wesley Matthews","POR",134,37778
"Danny Green, Kawhi Leonard, Tiago Splitter, Tim Duncan, Tony Parker","SAS",110,15920
"Andre Iguodala, Andrew Bogut, Draymond Green, Klay Thompson, Stephen Curry","GSW",100,10874
"Andre Iguodala, Draymond Green, Klay Thompson, Marreese Speights, Stephen Curry","GSW",84,7604
"Greivis Vasquez, James Johnson, Lou Williams, Patrick Patterson, Tyler Hansbrough","TOR",77,13719
"Draymond Green, Harrison Barnes, Klay Thompson, Marreese Speights, Stephen Curry","GSW",75,12059
"Donatas Motiejunas, Dwight Howard, James Harden, Patrick Beverley, Trevor Ariza","HOU",74,21644
"Andre Roberson, Kevin Durant, Russell Westbrook, Serge Ibaka, Steven Adams","OKC",73,14938
"Kevin Love, Kyrie Irving, LeBron James, Shawn Marion, Tristan Thompson","CLE",69,6693
"Al Horford, Dennis Schroder, Kyle Korver, Mike Scott, Thabo Sefolosha","ATL",66,4729
"Bradley Beal, John Wall, Marcin Gortat, Nene, Paul Pierce","WAS",64,35807
"Boris Diaw, Danny Green, Kawhi Leonard, Tim Duncan, Tony Parker","SAS",61,15950
"Ersan Ilyasova, Giannis Antetokounmpo, Khris Middleton, Michael Carter-Williams, Zaza Pachulia","MIL",60,20642
"Jeff Teague, Kyle Korver, Paul Millsap, Pero Antic, Thabo Sefolosha","ATL",59,3873
"Chandler Parsons, Dirk Nowitzki, Jameer Nelson, Monta Ellis, Tyson Chandler","DAL",56,15256
"Blake Griffin, Chris Paul, DeAndre Jordan, Jamal Crawford, Matt Barnes","LAC",54,13505
"Courtney Lee, Marc Gasol, Mike Conley, Tony Allen, Zach Randolph","MEM",54,27633
"Courtney Lee, Marc Gasol, Mike Conley, Vince Carter, Zach Randolph","MEM",52,4137
"Alex Len, Eric Bledsoe, Goran Dragic, Markieff Morris, P.J. Tucker","PHX",51,23515
"Andre Drummond, Anthony Tolliver, Caron Butler, Kentavious Caldwell-Pope, Reggie Jackson","DET",51,10354
"Blake Griffin, Chris Paul, DeAndre Jordan, Jamal Crawford, JJ Redick","LAC",51,14735
"Al Horford, DeMarre Carroll, Jeff Teague, Kyle Korver, Mike Muscala","ATL",50,3271
"Derrick Favors, Gordon Hayward, Joe Ingles, Rudy Gobert, Trey Burke","UTA",49,7702
"Anthony Davis, Dante Cunningham, Eric Gordon, Omer Asik, Tyreke Evans","NOP",48,12596
"Danilo Gallinari, Kenneth Faried, Randy Foye, Ty Lawson, Wilson Chandler","DEN",48,16016
"Jeff Green, Marc Gasol, Mike Conley, Tony Allen, Zach Randolph","MEM",48,6551
"Bradley Beal, John Wall, Kevin Seraphin, Nene, Paul Pierce","WAS",45,1793
"Al Jefferson, Gerald Henderson, Marvin Williams, Michael Kidd-Gilchrist, Mo Williams","CHA",44,7049
"Corey Brewer, James Harden, Jason Terry, Josh Smith, Terrence Jones","HOU",44,4609
"Chris Paul, DeAndre Jordan, JJ Redick, Matt Barnes, Spencer Hawes","LAC",43,11922
"Al-Farouq Aminu, Chandler Parsons, Devin Harris, Monta Ellis, Tyson Chandler","DAL",42,4631
"Andre Iguodala, Draymond Green, Harrison Barnes, Klay Thompson, Stephen Curry","GSW",42,6136
"Garrett Temple, John Wall, Marcin Gortat, Nene, Paul Pierce","WAS",42,14502
"John Wall, Kris Humphries, Marcin Gortat, Otto Porter Jr., Rasual Butler","WAS",42,2451
"Aaron Brooks, Derrick Rose, Jimmy Butler, Joakim Noah, Pau Gasol","CHI",39,3244
"Andre Iguodala, Andrew Bogut, Harrison Barnes, Klay Thompson, Stephen Curry","GSW",39,2344
"Brandon Knight, Giannis Antetokounmpo, Jared Dudley, Khris Middleton, Zaza Pachulia","MIL",39,4153
"Al-Farouq Aminu, Brandan Wright, Devin Harris, Dirk Nowitzki, J.J. Barea","DAL",38,4631
"Bismack Biyombo, Gerald Henderson, Kemba Walker, Marvin Williams, Michael Kidd-Gilchrist","CHA",38,3433
"Brandon Bass, Evan Turner, Kelly Olynyk, Marcus Smart, Marcus Thornton","BOS",38,2555
"CJ Miles, David West, George Hill, Rodney Stuckey, Roy Hibbert","IND",38,7374
"Derrick Favors, Elijah Millsap, Rodney Hood, Trevor Booker, Trey Burke","UTA",38,1927
"Aaron Brooks, Mike Dunleavy, Nikola Mirotic, Pau Gasol, Tony Snell","CHI",37,4005
"Anthony Davis, Eric Gordon, Omer Asik, Quincy Pondexter, Tyreke Evans","NOP",37,20813
"Courtney Lee, Marc Gasol, Mike Conley, Quincy Pondexter, Zach Randolph","MEM",37,2666
"Damian Lillard, Dorell Wright, LaMarcus Aldridge, Steve Blake, Wesley Matthews","POR",37,1001
"Alex Len, Eric Bledsoe, Goran Dragic, Isaiah Thomas, Markieff Morris","PHX",36,1948
"Aaron Brooks, Jimmy Butler, Nikola Mirotic, Pau Gasol, Tony Snell","CHI",35,1624
"Anthony Davis, Eric Gordon, Jrue Holiday, Omer Asik, Tyreke Evans","NOP",35,10284
"Chandler Parsons, Dirk Nowitzki, J.J. Barea, Monta Ellis, Tyson Chandler","DAL",35,4138
"Jimmy Butler, Kirk Hinrich, Mike Dunleavy, Nikola Mirotic, Pau Gasol","CHI",35,2845
"Amar'e Stoudemire, Carmelo Anthony, JR Smith, Pablo Prigioni, Tim Hardaway Jr.","NYK",34,1060
"Andrew Bogut, Draymond Green, Harrison Barnes, Leandro Barbosa, Stephen Curry","GSW",34,1860
"Chris Paul, DeAndre Jordan, Jamal Crawford, JJ Redick, Matt Barnes","LAC",34,3363
"DeMarre Carroll, Jeff Teague, Kyle Korver, Paul Millsap, Pero Antic","ATL",34,7228
"Dirk Nowitzki, Monta Ellis, Rajon Rondo, Richard Jefferson, Tyson Chandler","DAL",34,7303
"Iman Shumpert, LeBron James, Matthew Dellavedova, Timofey Mozgov, Tristan Thompson","CLE",34,2423
"Corey Brewer, Dwight Howard, Josh Smith, Pablo Prigioni, Trevor Ariza","HOU",33,2490
"Danny Green, Kawhi Leonard, Manu Ginobili, Tim Duncan, Tony Parker","SAS",33,1298
"Iman Shumpert, JR Smith, Kevin Love, Kyrie Irving, Timofey Mozgov","CLE",33,3874
"Iman Shumpert, JR Smith, LeBron James, Matthew Dellavedova, Tristan Thompson","CLE",33,2089
"Al-Farouq Aminu, Chandler Parsons, J.J. Barea, Monta Ellis, Tyson Chandler","DAL",32,2972
"Alan Anderson, Brook Lopez, Deron Williams, Joe Johnson, Mirza Teletovic","BKN",32,2318
"Andre Drummond, Anthony Tolliver, Kentavious Caldwell-Pope, Reggie Jackson, Tayshaun Prince","DET",32,2696
"Andre Iguodala, Draymond Green, Harrison Barnes, Shaun Livingston, Stephen Curry","GSW",32,1267
"Anthony Morrow, Kendrick Perkins, Kevin Durant, Nick Collison, Reggie Jackson","OKC",32,1684
"Andre Drummond, Brandon Jennings, Greg Monroe, Kentavious Caldwell-Pope, Kyle Singler","DET",31,15263
"Andre Iguodala, David Lee, Leandro Barbosa, Marreese Speights, Shaun Livingston","GSW",31,4248
"Andrew Wiggins, Kevin Martin, Nikola Pekovic, Ricky Rubio, Thaddeus Young","MIN",31,7530
"CJ Miles, David West, George Hill, Ian Mahinmi, Solomon Hill","IND",31,3354
"Danny Green, Kawhi Leonard, Matt Bonner, Tim Duncan, Tony Parker","SAS",31,8468
"Derrick Rose, Jimmy Butler, Joakim Noah, Mike Dunleavy, Pau Gasol","CHI",31,21210
"Donatas Motiejunas, James Harden, Jason Terry, Tarik Black, Trevor Ariza","HOU",31,4317
"Ben McLemore, DeMarcus Cousins, Jason Thompson, Omri Casspi, Ramon Sessions","SAC",30,3963
"Derrick Favors, Gordon Hayward, Rodney Hood, Trevor Booker, Trey Burke","UTA",30,3170
"Andre Drummond, Brandon Jennings, Caron Butler, Greg Monroe, Kentavious Caldwell-Pope","DET",29,2635
"Arron Afflalo, CJ McCollum, Meyers Leonard, Robin Lopez, Steve Blake","POR",29,1578
"Chandler Parsons, Devin Harris, Dirk Nowitzki, Monta Ellis, Tyson Chandler","DAL",29,8283
"Channing Frye, Evan Fournier, Kyle O'Quinn, Tobias Harris, Victor Oladipo","ORL",29,4983
"Dwight Howard, James Harden, Kostas Papanikolaou, Patrick Beverley, Trevor Ariza","HOU",29,1731
"Jared Dudley, Jerryd Bayless, Khris Middleton, O.J. Mayo, Zaza Pachulia","MIL",29,2054
"KJ McDaniels, Luc Mbah a Moute, Michael Carter-Williams, Nerlens Noel, Robert Covington","PHI",29,9127
"Anthony Morrow, D.J. Augustin, Dion Waiters, Mitch McGary, Nick Collison","OKC",28,3753
"Corey Brewer, Donatas Motiejunas, James Harden, Jason Terry, Josh Smith","HOU",28,3027
"Corey Brewer, James Harden, Jason Terry, Joey Dorsey, Josh Smith","HOU",28,1574
"Dewayne Dedmon, Elfrid Payton, Maurice Harkless, Tobias Harris, Victor Oladipo","ORL",28,1652
"Dion Waiters, Kevin Love, Kyrie Irving, LeBron James, Tristan Thompson","CLE",28,3735
