"idGame","slugTeam","lineup","lineupStint","initialScoreTeam","initialScoreOpp","finalScoreTeam","finalScoreOpp","initialTime","finalTime","totalScoreTeam","totalScoreOpp","netScoreTeam","totalTime"
"21400001","NOP","Anthony Davis, Eric Gordon, Jrue Holiday, Omer Asik, Tyreke Evans",0,0,0,18,14,0,429,18,14,4,429
"21400001","ORL","Elfrid Payton, Evan Fournier, Kyle O'Quinn, Nikola Vucevic, Tobias Harris",0,0,0,14,15,0,403,14,15,-1,403
"21400001","NOP","Anthony Davis, Eric Gordon, Jrue Holiday, Ryan Anderson, Tyreke Evans",1,18,14,18,14,429,445,0,0,0,16
"21400001","ORL","Aaron Gordon, Elfrid Payton, Evan Fournier, Nikola Vucevic, Tobias Harris",1,14,15,14,18,403,445,0,3,-3,42
"21400001","NOP","Anthony Davis, Eric Gordon, John Salmons, Jrue Holiday, Ryan Anderson",2,18,14,20,18,445,543,2,4,-2,98
"21400001","ORL","Aaron Gordon, Ben Gordon, Elfrid Payton, Nikola Vucevic, Tobias Harris",2,14,18,14,20,445,503,0,2,-2,58
"21400001","NOP","Anthony Davis, Jimmer Fredette, John Salmons, Jrue Holiday, Ryan Anderson",3,20,18,20,18,543,543,0,0,0,0
"21400001","ORL","Aaron Gordon, Ben Gordon, Luke Ridnour, Nikola Vucevic, Tobias Harris",3,14,20,18,20,503,543,4,0,4,40
"21400001","NOP","Anthony Davis, Austin Rivers, Jimmer Fredette, John Salmons, Ryan Anderson",4,20,18,23,18,543,574,3,0,3,31
"21400001","ORL","Aaron Gordon, Ben Gordon, Dewayne Dedmon, Luke Ridnour, Tobias Harris",4,18,20,20,23,543,608,2,3,-1,65
"21400001","NOP","Austin Rivers, Jimmer Fredette, John Salmons, Omer Asik, Ryan Anderson",5,23,18,25,22,574,678,2,4,-2,104
"21400001","ORL","Aaron Gordon, Ben Gordon, Dewayne Dedmon, Luke Ridnour, Willie Green",5,20,23,24,27,608,778,4,4,0,170
"21400001","NOP","Austin Rivers, Jimmer Fredette, Omer Asik, Ryan Anderson, Tyreke Evans",6,25,22,31,28,678,911,6,6,0,233
"21400001","ORL","Aaron Gordon, Ben Gordon, Luke Ridnour, Nikola Vucevic, Willie Green",6,24,27,28,28,778,855,4,1,3,77
"21400001","NOP","Austin Rivers, Jimmer Fredette, Jrue Holiday, Omer Asik, Tyreke Evans",7,31,28,31,28,911,911,0,0,0,0
"21400001","ORL","Aaron Gordon, Ben Gordon, Elfrid Payton, Nikola Vucevic, Willie Green",7,28,28,28,28,855,855,0,0,0,0
"21400001","NOP","Anthony Davis, Austin Rivers, Jrue Holiday, Omer Asik, Tyreke Evans",8,31,28,31,28,911,911,0,0,0,0
"21400001","ORL","Aaron Gordon, Ben Gordon, Elfrid Payton, Evan Fournier, Nikola Vucevic",8,28,28,28,31,855,911,0,3,-3,56
"21400001","NOP","Anthony Davis, Eric Gordon, Jrue Holiday, Omer Asik, Tyreke Evans",9,31,28,38,40,911,1201,7,12,-5,290
"21400001","ORL","Aaron Gordon, Elfrid Payton, Evan Fournier, Nikola Vucevic, Tobias Harris",9,28,31,30,34,911,985,2,3,-1,74
"21400001","NOP","Anthony Davis, Eric Gordon, Jrue Holiday, Ryan Anderson, Tyreke Evans",10,38,40,41,48,1201,1440,3,8,-5,239
"21400001","ORL","Elfrid Payton, Evan Fournier, Kyle O'Quinn, Nikola Vucevic, Tobias Harris",10,30,34,40,38,985,1201,10,4,6,216
"21400001","NOP","Anthony Davis, Eric Gordon, Jrue Holiday, Omer Asik, Tyreke Evans",11,41,48,55,56,1440,1756,14,8,6,316
"21400001","ORL","Aaron Gordon, Elfrid Payton, Evan Fournier, Nikola Vucevic, Tobias Harris",11,40,38,44,38,1201,1349,4,0,4,148
"21400001","NOP","Anthony Davis, Austin Rivers, Eric Gordon, Omer Asik, Tyreke Evans",12,55,56,57,61,1756,1877,2,5,-3,121
"21400001","ORL","Ben Gordon, Elfrid Payton, Evan Fournier, Nikola Vucevic, Tobias Harris",12,44,38,46,41,1349,1431,2,3,-1,82
"21400001","NOP","Anthony Davis, Austin Rivers, Eric Gordon, Ryan Anderson, Tyreke Evans",13,57,61,57,61,1877,1877,0,0,0,0
"21400001","ORL","Ben Gordon, Elfrid Payton, Evan Fournier, Kyle O'Quinn, Tobias Harris",13,46,41,46,41,1431,1431,0,0,0,0
"21400001","NOP","Anthony Davis, Austin Rivers, Jimmer Fredette, Ryan Anderson, Tyreke Evans",14,57,61,61,63,1877,2010,4,2,2,133
"21400001","ORL","Aaron Gordon, Elfrid Payton, Evan Fournier, Kyle O'Quinn, Tobias Harris",14,46,41,48,41,1431,1440,2,0,2,9
"21400001","NOP","Anthony Davis, Austin Rivers, Jimmer Fredette, John Salmons, Ryan Anderson",15,61,63,66,78,2010,2214,5,15,-10,204
"21400001","ORL","Elfrid Payton, Evan Fournier, Kyle O'Quinn, Nikola Vucevic, Tobias Harris",15,48,41,59,55,1440,1820,11,14,-3,380
"21400001","NOP","Austin Rivers, Jimmer Fredette, John Salmons, Omer Asik, Ryan Anderson",16,66,78,72,83,2214,2349,6,5,1,135
"21400001","ORL","Ben Gordon, Elfrid Payton, Evan Fournier, Nikola Vucevic, Tobias Harris",16,59,55,59,55,1820,1820,0,0,0,0
"21400001","NOP","Austin Rivers, Eric Gordon, Jimmer Fredette, Omer Asik, Ryan Anderson",17,72,83,72,86,2349,2428,0,3,-3,79
"21400001","ORL","Aaron Gordon, Ben Gordon, Elfrid Payton, Nikola Vucevic, Tobias Harris",17,59,55,61,57,1820,1877,2,2,0,57
"21400001","NOP","Anthony Davis, Austin Rivers, Eric Gordon, Omer Asik, Ryan Anderson",18,72,86,72,86,2428,2428,0,0,0,0
"21400001","ORL","Aaron Gordon, Ben Gordon, Luke Ridnour, Nikola Vucevic, Tobias Harris",18,61,57,63,61,1877,2010,2,4,-2,133
"21400001","NOP","Anthony Davis, Eric Gordon, Omer Asik, Ryan Anderson, Tyreke Evans",19,72,86,72,88,2428,2497,0,2,-2,69
"21400001","ORL","Aaron Gordon, Ben Gordon, Kyle O'Quinn, Luke Ridnour, Tobias Harris",19,63,61,64,61,2010,2034,1,0,1,24
"21400001","NOP","Anthony Davis, Eric Gordon, Jrue Holiday, Omer Asik, Tyreke Evans",20,72,88,74,97,2497,2731,2,9,-7,234
"21400001","ORL","Aaron Gordon, Ben Gordon, Evan Fournier, Kyle O'Quinn, Luke Ridnour",20,64,61,78,64,2034,2160,14,3,11,126
"21400001","NOP","Anthony Davis, Austin Rivers, Eric Gordon, Jrue Holiday, Omer Asik",21,74,97,74,97,2731,2731,0,0,0,0
"21400001","ORL","Aaron Gordon, Ben Gordon, Elfrid Payton, Nikola Vucevic, Tobias Harris",21,78,64,87,72,2160,2481,9,8,1,321
"21400001","NOP","Austin Rivers, Eric Gordon, Jimmer Fredette, Jrue Holiday, Omer Asik",22,74,97,74,97,2731,2731,0,0,0,0
"21400001","ORL","Aaron Gordon, Elfrid Payton, Evan Fournier, Nikola Vucevic, Tobias Harris",22,87,72,87,72,2481,2481,0,0,0,0
"21400001","NOP","Austin Rivers, Eric Gordon, Jeff Withey, Jimmer Fredette, Jrue Holiday",23,74,97,74,97,2731,2731,0,0,0,0
"21400001","ORL","Aaron Gordon, Evan Fournier, Luke Ridnour, Nikola Vucevic, Tobias Harris",23,87,72,88,72,2481,2497,1,0,1,16
"21400001","NOP","Austin Rivers, Jeff Withey, Jimmer Fredette, Jrue Holiday, Luke Babbitt",24,74,97,74,97,2731,2731,0,0,0,0
"21400001","ORL","Aaron Gordon, Evan Fournier, Kyle O'Quinn, Luke Ridnour, Tobias Harris",24,88,72,89,72,2497,2529,1,0,1,32
"21400001","NOP","Alexis Ajinca, Austin Rivers, Jeff Withey, Jimmer Fredette, Luke Babbitt",25,74,97,84,101,2731,2880,10,4,6,149
"21400001","ORL","Ben Gordon, Evan Fournier, Kyle O'Quinn, Luke Ridnour, Tobias Harris",25,89,72,89,74,2529,2621,0,2,-2,92
"21400001","ORL","Aaron Gordon, Ben Gordon, Evan Fournier, Kyle O'Quinn, Luke Ridnour",26,89,74,89,74,2621,2621,0,0,0,0
"21400001","ORL","Aaron Gordon, Ben Gordon, Dewayne Dedmon, Evan Fournier, Luke Ridnour",27,89,74,95,74,2621,2701,6,0,6,80
"21400001","ORL","Aaron Gordon, Devyn Marble, Dewayne Dedmon, Evan Fournier, Luke Ridnour",28,95,74,101,84,2701,2880,6,10,-4,179
"21400002","DAL","Chandler Parsons, Dirk Nowitzki, Jameer Nelson, Monta Ellis, Tyson Chandler",0,0,0,7,6,0,338,7,6,1,338
"21400002","SAS","Danny Green, Marco Belinelli, Matt Bonner, Tim Duncan, Tony Parker",0,0,0,6,7,0,338,6,7,-1,338
"21400002","DAL","Chandler Parsons, Dirk Nowitzki, Greg Smith, Jameer Nelson, Monta Ellis",1,7,6,9,9,338,367,2,3,-1,29
"21400002","SAS","Manu Ginobili, Marco Belinelli, Matt Bonner, Tim Duncan, Tony Parker",1,6,7,6,7,338,338,0,0,0,0
"21400002","DAL","Chandler Parsons, Devin Harris, Greg Smith, Jameer Nelson, Monta Ellis",2,9,9,9,9,367,367,0,0,0,0
"21400002","SAS","Boris Diaw, Manu Ginobili, Marco Belinelli, Tim Duncan, Tony Parker",2,6,7,13,14,338,531,7,7,0,193
"21400002","DAL","Chandler Parsons, Devin Harris, Jameer Nelson, Monta Ellis, Tyson Chandler",3,9,9,14,13,367,531,5,4,1,164
"21400002","SAS","Aron Baynes, Boris Diaw, Manu Ginobili, Marco Belinelli, Tony Parker",3,13,14,18,19,531,603,5,5,0,72
"21400002","DAL","Brandan Wright, Chandler Parsons, Devin Harris, Jameer Nelson, Monta Ellis",4,14,13,19,18,531,603,5,5,0,72
"21400002","SAS","Aron Baynes, Boris Diaw, Cory Joseph, Manu Ginobili, Marco Belinelli",4,18,19,18,19,603,603,0,0,0,0
"21400002","DAL","Brandan Wright, Devin Harris, Dirk Nowitzki, Jameer Nelson, Monta Ellis",5,19,18,19,18,603,603,0,0,0,0
"21400002","SAS","Aron Baynes, Boris Diaw, Cory Joseph, Danny Green, Manu Ginobili",5,18,19,31,28,603,868,13,9,4,265
"21400002","DAL","Al-Farouq Aminu, Brandan Wright, Devin Harris, Dirk Nowitzki, Jameer Nelson",6,19,18,19,18,603,603,0,0,0,0
"21400002","SAS","Aron Baynes, Boris Diaw, Cory Joseph, Danny Green, Marco Belinelli",6,31,28,31,32,868,932,0,4,-4,64
"21400002","DAL","Al-Farouq Aminu, Brandan Wright, Devin Harris, Dirk Nowitzki, Jae Crowder",7,19,18,32,31,603,932,13,13,0,329
"21400002","SAS","Aron Baynes, Cory Joseph, Danny Green, Marco Belinelli, Matt Bonner",7,31,32,31,32,932,932,0,0,0,0
"21400002","DAL","Al-Farouq Aminu, Brandan Wright, Dirk Nowitzki, Jae Crowder, Jameer Nelson",8,32,31,32,31,932,932,0,0,0,0
"21400002","SAS","Aron Baynes, Danny Green, Marco Belinelli, Matt Bonner, Tony Parker",8,31,32,37,34,932,1012,6,2,4,80
"21400002","DAL","Brandan Wright, Dirk Nowitzki, Jae Crowder, Jameer Nelson, Richard Jefferson",9,32,31,32,31,932,932,0,0,0,0
"21400002","SAS","Danny Green, Marco Belinelli, Matt Bonner, Tim Duncan, Tony Parker",9,37,34,41,38,1012,1128,4,4,0,116
"21400002","DAL","Brandan Wright, Dirk Nowitzki, Jameer Nelson, Monta Ellis, Richard Jefferson",10,32,31,32,37,932,993,0,6,-6,61
"21400002","SAS","Danny Green, Manu Ginobili, Matt Bonner, Tim Duncan, Tony Parker",10,41,38,41,38,1128,1128,0,0,0,0
"21400002","DAL","Brandan Wright, Chandler Parsons, Jameer Nelson, Monta Ellis, Richard Jefferson",11,32,37,32,37,993,993,0,0,0,0
