Rk,Team,G,MP,FG,FGA,FG_P,3P,3PA,3P_P,2P,2PA,2P_P,FT,FTA,FT_P,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Utah Jazz,82,19705,39.5,88.8,0.446,8.1,22.5,0.362,31.4,66.3,0.474,17.6,23.7,0.744,10.9,32.4,43.3,21.5,9.1,5.1,14.5,21.6,104.9
2,Memphis Grizzlies*,82,19905,38.7,87.6,0.442,8.7,24.8,0.351,30,62.9,0.478,16.1,21.6,0.742,11.3,34.3,45.6,21.7,7.9,5.6,16.5,21.8,102.2
3,San Antonio Spurs*,82,19955,39,88,0.444,7.2,19.9,0.36,31.9,68.1,0.468,16.8,22.5,0.745,10.4,33.9,44.3,21.8,8.3,4.6,15,20.7,102
4,Indiana Pacers,82,19855,38.3,88,0.435,7.7,22.2,0.345,30.6,65.8,0.465,19.1,25.3,0.753,10.4,35.1,45.5,21.2,8,5,13.6,22.8,103.2
5,Atlanta Hawks*,82,19730,38.7,88.3,0.439,9.3,27.3,0.341,29.4,60.9,0.483,16.3,21.4,0.764,12.3,34.1,46.3,25,7.8,5.2,17.1,20.9,103.1
6,Miami Heat,82,19730,39.6,87.3,0.454,8.9,25.2,0.353,30.7,62,0.495,18.6,25.5,0.73,12,33,45,23.4,8.6,4.8,16.3,22.9,106.7
7,Charlotte Hornets,82,19905,39.2,89,0.44,8.4,23.6,0.357,30.8,65.5,0.47,16.8,21.7,0.772,9.4,37.5,46.9,23.5,6.5,5.7,13.4,22.2,103.5
8,Milwaukee Bucks*,82,19930,37.3,85.5,0.437,8.7,25.3,0.342,28.7,60.2,0.476,18.9,25.5,0.742,12,33,45,23.4,9.1,5,18.2,21.1,102.2
9,Chicago Bulls*,82,19880,40.3,92.5,0.435,7,20.9,0.335,33.3,71.6,0.465,16.8,22.4,0.749,12.5,33.8,46.3,21.6,8,5.8,13,22.6,104.3
10,Washington Wizards*,82,19955,38.1,87.9,0.433,8.4,24.2,0.349,29.6,63.7,0.465,18.4,24.9,0.738,10.5,33.4,43.9,21,8.4,4.5,14.7,20.7,103
